ID,年齢,職業,婚姻,学歴,債務不履行,平均残高,住宅ローン,個人ローン,連絡手段,通話回数_販促中,経過日数,通話回数_販促前,前回販促結果,今回販促結果
1,30,management,single,tertiary,no,533,no,no,cellular,2,99,4,success,no
2,44,technician,divorced,secondary,no,1262,yes,no,unknown,11,999,0,unknown,no
3,44,blue-collar,married,secondary,no,88,yes,no,cellular,1,999,0,unknown,no
4,27,admin.,married,secondary,no,1596,no,no,cellular,1,999,0,unknown,no
5,48,management,married,tertiary,,0,yes,no,cellular,2,125,6,failure,no
6,47,management,married,tertiary,no,288,no,no,cellular,1,999,0,unknown,no
7,29,unemployed,single,tertiary,no,497,yes,no,cellular,3,298,6,success,no
8,56,admin.,married,secondary,no,602,no,no,cellular,1,130,8,success,no
9,39,management,married,tertiary,no,2763,yes,no,unknown,2,999,0,unknown,no
10,62,retired,married,secondary,no,2801,yes,yes,cellular,1,183,1,success,no
11,20,student,single,secondary,no,215,no,no,cellular,1,92,6,success,no
12,36,blue-collar,married,primary,,599,yes,no,unknown,2,999,0,unknown,no
13,63,management,married,tertiary,no,2785,no,no,cellular,2,392,3,success,no
14,32,blue-collar,married,primary,no,415,yes,no,unknown,4,999,0,unknown,no
15,25,student,single,secondary,no,486,no,no,cellular,3,199,4,failure,no
16,30,admin.,single,secondary,no,523,no,yes,cellular,1,999,0,unknown,no
17,38,admin.,married,secondary,no,1767,yes,no,cellular,7,999,0,unknown,no
18,30,technician,single,secondary,no,2371,no,no,cellular,1,384,2,nonexistent,no
19,36,admin.,single,tertiary,no,994,no,no,cellular,1,90,6,success,no
20,55,entrepreneur,married,secondary,no,27624,no,no,telephone,1,999,0,unknown,no
21,33,technician,married,secondary,no,2044,yes,no,cellular,3,999,0,unknown,no
22,41,blue-collar,divorced,primary,no,0,no,no,cellular,2,999,0,unknown,no
23,31,management,single,tertiary,no,1619,no,no,cellular,2,999,0,,no
24,57,admin.,married,secondary,no,403,yes,no,cellular,1,340,2,nonexistent,no
25,73,retired,married,primary,no,542,no,no,cellular,1,180,5,failure,no
26,29,unemployed,single,primary,no,550,no,no,cellular,1,999,0,unknown,no
27,42,management,married,primary,no,5310,yes,no,cellular,2,97,4,success,no
28,52,blue-collar,married,secondary,no,2087,yes,no,cellular,1,474,1,failure,no
29,54,technician,divorced,secondary,no,2156,yes,no,cellular,1,195,4,failure,no
30,33,management,single,tertiary,no,5437,no,no,cellular,1,91,1,failure,no
31,36,unemployed,married,secondary,no,1766,no,no,unknown,2,999,0,unknown,no
32,37,entrepreneur,married,tertiary,no,189,no,no,cellular,2,999,0,unknown,no
33,36,services,married,secondary,no,11462,yes,no,cellular,1,999,0,unknown,no
34,41,unemployed,single,tertiary,no,79,no,no,telephone,1,390,2,success,no
35,32,student,single,tertiary,no,1138,no,no,telephone,3,999,0,,no
36,31,self-employed,single,tertiary,no,3343,no,no,cellular,1,94,1,success,no
37,66,management,married,unknown,no,2149,yes,no,cellular,2,90,11,success,no
38,34,services,single,secondary,no,528,yes,no,cellular,3,100,5,nonexistent,no
39,47,admin.,single,secondary,no,3696,no,no,cellular,4,999,0,unknown,no
40,30,admin.,single,secondary,no,313,yes,no,cellular,2,999,0,unknown,no
41,31,unemployed,single,secondary,no,582,yes,no,cellular,2,999,0,unknown,no
42,63,management,married,tertiary,no,3115,no,no,cellular,5,999,0,unknown,no
43,33,blue-collar,divorced,primary,no,390,yes,no,unknown,2,999,0,unknown,no
44,36,management,single,tertiary,no,2646,no,no,cellular,1,182,10,success,no
45,46,management,married,tertiary,no,349,no,no,cellular,2,616,1,failure,no
46,55,retired,married,secondary,no,1504,yes,yes,cellular,1,999,0,unknown,no
47,35,management,married,tertiary,no,8,no,no,cellular,3,999,0,unknown,no
48,35,blue-collar,married,primary,no,102,yes,no,unknown,1,999,0,unknown,no
49,41,entrepreneur,married,secondary,no,707,no,no,unknown,1,999,0,unknown,no
50,53,management,married,tertiary,no,583,no,no,cellular,1,184,4,success,no
51,65,retired,married,secondary,no,2,no,no,cellular,1,999,0,unknown,no
52,31,technician,single,secondary,no,2544,no,no,cellular,1,184,3,success,no
53,29,management,single,tertiary,no,1445,no,no,cellular,2,143,2,success,no
54,39,admin.,single,tertiary,no,22086,no,no,cellular,1,999,0,unknown,no
55,37,management,married,tertiary,no,238,no,no,cellular,1,999,0,unknown,no
56,28,blue-collar,single,secondary,no,-46,yes,no,cellular,1,89,11,failure,no
57,53,management,divorced,tertiary,no,50,yes,no,cellular,1,337,3,,no
58,27,admin.,single,secondary,no,192,no,no,telephone,17,999,0,unknown,no
59,29,blue-collar,single,primary,no,213,yes,no,unknown,3,999,0,unknown,no
60,37,technician,married,secondary,no,1458,no,no,cellular,1,999,0,unknown,no
61,34,management,single,tertiary,no,1228,no,no,cellular,8,999,0,unknown,no
62,45,blue-collar,married,primary,no,101,yes,no,unknown,5,999,0,unknown,no
63,27,unknown,single,unknown,no,326,no,no,cellular,1,999,0,unknown,no
64,36,admin.,single,secondary,no,60,yes,no,cellular,2,999,0,unknown,no
65,37,technician,married,tertiary,no,127,yes,no,cellular,1,999,0,unknown,no
66,21,technician,single,unknown,no,360,no,no,cellular,2,999,0,unknown,no
67,31,management,single,tertiary,no,11821,no,no,cellular,11,999,0,unknown,no
68,52,self-employed,married,tertiary,no,4012,no,no,cellular,3,92,5,nonexistent,no
69,26,unemployed,single,secondary,,632,no,no,cellular,3,181,1,success,no
70,60,unemployed,married,primary,no,0,no,no,cellular,1,412,1,nonexistent,no
71,47,admin.,divorced,secondary,no,225,no,no,cellular,4,999,0,unknown,no
72,27,technician,single,secondary,no,2,yes,yes,cellular,2,356,1,failure,no
73,38,blue-collar,married,secondary,no,1627,no,no,unknown,9,999,0,,no
74,61,retired,married,secondary,,1058,no,no,cellular,2,91,3,success,no
75,25,blue-collar,single,secondary,no,389,no,no,cellular,1,999,0,unknown,no
76,58,technician,married,secondary,no,3399,no,no,telephone,2,188,8,success,no
77,59,management,married,tertiary,no,5397,no,no,cellular,1,92,3,success,no
78,39,management,married,tertiary,,-17,yes,yes,cellular,1,999,0,unknown,no
79,29,blue-collar,single,secondary,no,-20,yes,no,unknown,2,999,0,unknown,no
80,53,management,married,tertiary,no,15,no,no,cellular,2,999,0,unknown,no
81,75,retired,married,primary,no,1765,no,no,telephone,1,187,4,failure,no
82,51,retired,married,tertiary,no,580,no,no,cellular,2,999,0,unknown,no
83,55,admin.,married,secondary,no,139,no,no,cellular,1,999,0,unknown,no
84,26,technician,single,tertiary,no,515,no,no,cellular,1,999,0,unknown,no
85,28,unemployed,single,primary,no,236,no,no,cellular,1,87,3,failure,no
86,32,admin.,married,secondary,no,995,no,no,cellular,1,99,2,nonexistent,no
87,31,unemployed,single,secondary,no,284,yes,no,cellular,1,999,0,unknown,no
88,35,admin.,single,secondary,no,-32,no,yes,cellular,4,182,5,failure,no
89,38,services,married,secondary,no,934,yes,no,cellular,1,999,0,unknown,no
90,78,retired,divorced,secondary,no,3417,no,no,cellular,1,181,1,success,no
91,54,admin.,divorced,secondary,no,1693,no,no,cellular,1,87,2,nonexistent,no
92,35,technician,single,tertiary,no,5301,no,no,cellular,2,999,0,,no
93,26,technician,single,tertiary,no,-67,yes,no,cellular,1,999,0,unknown,no
94,79,retired,married,primary,,8556,no,no,telephone,2,272,2,success,no
95,31,admin.,single,secondary,no,3950,yes,no,cellular,1,999,0,unknown,no
96,46,management,married,tertiary,no,1600,yes,yes,cellular,1,999,0,unknown,no
97,34,services,married,secondary,no,2918,no,yes,cellular,1,196,2,success,no
98,26,services,single,tertiary,no,12,no,no,cellular,1,181,10,failure,no
99,52,services,married,secondary,no,992,yes,no,cellular,1,515,1,failure,no
100,43,technician,married,secondary,no,136,no,no,cellular,7,999,0,unknown,no
101,32,technician,single,unknown,no,491,no,no,cellular,2,91,7,success,no
102,54,admin.,married,unknown,no,140,no,no,telephone,2,182,2,failure,no
103,31,management,divorced,tertiary,no,71,no,no,cellular,1,999,0,unknown,no
104,30,management,single,tertiary,no,572,no,no,cellular,3,183,2,success,no
105,27,student,single,tertiary,no,1134,no,no,cellular,1,183,4,success,no
106,43,management,divorced,unknown,no,7702,no,no,cellular,1,95,2,success,no
107,59,admin.,married,secondary,no,2343,yes,no,unknown,1,999,0,unknown,no
108,58,self-employed,married,tertiary,no,5810,no,no,cellular,1,999,0,unknown,no
109,29,management,single,tertiary,no,437,no,no,cellular,1,92,1,success,no
110,31,technician,married,tertiary,no,3338,yes,no,cellular,2,999,0,unknown,no
111,39,blue-collar,single,tertiary,,172,yes,no,cellular,2,183,2,failure,no
112,57,retired,divorced,primary,no,720,no,no,telephone,4,999,0,unknown,no
113,34,management,married,tertiary,no,606,no,no,cellular,1,999,0,unknown,no
114,30,management,single,tertiary,no,12857,yes,no,cellular,1,999,0,unknown,no
115,38,management,divorced,tertiary,no,6368,yes,no,cellular,4,999,0,unknown,no
116,26,blue-collar,single,secondary,no,191,yes,no,cellular,1,999,0,unknown,no
117,77,management,married,unknown,no,1780,yes,no,cellular,2,182,5,success,no
118,55,admin.,divorced,secondary,no,1872,no,no,cellular,2,93,8,failure,no
119,42,technician,married,tertiary,no,-215,no,no,unknown,5,999,0,unknown,no
120,80,housemaid,married,primary,no,0,no,no,cellular,1,189,1,failure,no
121,30,student,single,tertiary,no,7529,no,no,cellular,6,183,1,success,no
122,32,services,married,secondary,,1273,yes,no,cellular,2,328,1,failure,no
123,37,entrepreneur,divorced,tertiary,no,66,no,no,cellular,2,999,0,unknown,no
124,57,retired,married,primary,no,9367,no,no,cellular,4,92,7,success,no
125,60,blue-collar,married,primary,no,493,no,no,cellular,4,999,0,unknown,no
126,27,services,married,secondary,no,0,yes,no,cellular,5,999,0,unknown,no
127,43,management,married,tertiary,,2640,no,no,cellular,4,999,0,unknown,no
128,44,blue-collar,married,unknown,no,146,yes,no,unknown,1,999,0,unknown,no
129,41,technician,single,tertiary,no,1646,yes,no,cellular,1,184,6,success,no
130,39,admin.,married,secondary,no,130,yes,yes,cellular,2,999,0,unknown,no
131,25,blue-collar,single,secondary,no,2007,no,no,cellular,2,999,0,unknown,no
132,26,blue-collar,single,primary,no,409,yes,no,cellular,2,999,0,unknown,no
133,32,technician,single,secondary,no,562,yes,no,unknown,3,999,0,unknown,no
134,36,self-employed,single,tertiary,,353,no,no,cellular,2,181,2,success,no
135,36,management,single,tertiary,no,2032,no,yes,cellular,1,999,0,unknown,no
136,54,management,married,secondary,no,2693,no,no,cellular,1,188,6,nonexistent,no
137,58,entrepreneur,married,tertiary,no,853,no,no,unknown,2,999,0,unknown,no
138,76,retired,married,secondary,no,4112,no,no,telephone,2,999,0,unknown,no
139,43,blue-collar,single,secondary,no,3,yes,no,unknown,3,999,0,unknown,no
140,29,management,single,tertiary,no,3846,no,no,cellular,2,999,0,unknown,no
141,31,management,married,tertiary,no,81,yes,no,cellular,2,999,0,unknown,no
142,29,management,single,tertiary,,697,no,no,cellular,1,85,1,success,no
143,33,services,married,secondary,no,1076,no,no,cellular,1,96,5,failure,no
144,43,management,single,tertiary,no,2081,no,no,cellular,3,999,0,unknown,no
145,34,admin.,single,tertiary,no,4254,yes,no,cellular,1,999,0,unknown,no
146,36,student,single,unknown,no,417,no,no,cellular,1,181,1,success,no
147,32,technician,single,tertiary,no,34646,no,no,telephone,9,999,0,,no
148,77,management,married,unknown,,1780,yes,no,cellular,2,183,3,success,no
149,61,self-employed,married,tertiary,no,10861,no,no,cellular,1,91,5,success,no
150,42,management,married,unknown,no,1519,no,no,cellular,1,92,1,success,no
151,51,admin.,single,secondary,no,726,yes,no,cellular,8,999,0,unknown,no
152,57,housemaid,married,tertiary,no,2326,no,no,cellular,1,999,0,unknown,no
153,61,management,married,tertiary,no,6016,no,no,cellular,3,999,0,unknown,no
154,31,technician,married,secondary,no,1173,yes,no,cellular,3,999,0,,no
155,60,retired,married,primary,no,1588,no,no,cellular,1,999,0,unknown,no
156,38,housemaid,divorced,secondary,no,70,no,no,cellular,3,148,1,success,no
157,42,technician,single,unknown,no,11115,no,no,cellular,1,102,1,success,no
158,42,technician,divorced,secondary,no,214,no,no,cellular,1,999,0,unknown,no
159,67,retired,divorced,secondary,no,704,no,no,cellular,1,87,3,success,no
160,44,self-employed,divorced,secondary,no,8,no,no,cellular,4,999,0,,no
161,39,management,married,tertiary,no,0,no,no,cellular,3,22,3,nonexistent,no
162,54,retired,married,primary,no,309,no,no,cellular,2,999,0,unknown,no
163,61,management,married,tertiary,no,0,no,no,cellular,2,999,0,unknown,no
164,25,student,single,tertiary,no,253,no,no,cellular,1,999,0,,no
165,71,retired,divorced,secondary,no,5584,no,no,cellular,3,999,0,unknown,no
166,44,management,married,tertiary,no,423,no,no,cellular,5,999,0,,no
167,52,entrepreneur,married,tertiary,yes,-468,no,no,cellular,1,999,0,,no
168,67,retired,divorced,secondary,no,704,no,no,cellular,1,999,0,,no
169,43,blue-collar,single,secondary,no,318,yes,no,unknown,2,999,0,,no
170,46,services,married,secondary,no,2948,no,no,cellular,1,999,0,unknown,no
171,46,self-employed,divorced,tertiary,,21,no,no,cellular,2,999,0,unknown,no
172,67,management,married,tertiary,no,405,no,no,cellular,2,95,2,success,no
173,56,housemaid,single,tertiary,no,1947,no,no,unknown,1,999,0,unknown,no
174,54,management,divorced,tertiary,no,5475,no,no,cellular,4,999,0,unknown,no
