年齢,職業,婚姻,学歴,債務不履行,平均残高,住宅ローン,個人ローン,連絡手段,最終通話日,最終通話月,最終通話秒数,通話回数_販促中,前回販促後_経過日数,通話回数_販促前,前回販促結果,今回販促結果
31,management,married,tertiary,no,1343,yes,yes,unknown,21,may,85,1,-1,0,unknown,no
55,unknown,married,tertiary,no,0,no,no,unknown,16,may,409,3,-1,0,unknown,no
53,blue-collar,married,secondary,no,-626,yes,no,cellular,9,jul,205,1,-1,0,unknown,no
38,management,married,tertiary,no,12855,yes,no,unknown,30,may,417,1,-1,0,unknown,no
35,technician,single,secondary,no,300,yes,no,unknown,9,may,338,4,-1,0,unknown,no
37,blue-collar,single,secondary,no,48,no,no,cellular,6,may,140,2,-1,0,unknown,no
52,technician,married,secondary,no,475,yes,no,cellular,28,jul,121,3,-1,0,unknown,no
30,services,single,secondary,no,114,no,yes,cellular,18,jul,110,10,-1,0,unknown,no
34,technician,married,secondary,no,4,yes,no,unknown,15,may,644,1,-1,0,unknown,no
58,retired,married,secondary,no,413,no,no,cellular,27,aug,104,5,-1,0,unknown,no
44,management,single,tertiary,no,617,no,no,telephone,31,jul,30,2,-1,0,unknown,no
20,student,married,unknown,no,292,no,no,cellular,4,may,45,1,-1,0,unknown,no
30,unemployed,married,secondary,no,142,yes,no,unknown,20,may,350,4,-1,0,unknown,no
47,services,married,primary,no,504,no,yes,unknown,18,jun,156,3,-1,0,unknown,no
31,entrepreneur,married,secondary,no,10,yes,yes,cellular,25,jul,13,9,-1,0,unknown,no
32,blue-collar,married,primary,no,827,yes,no,unknown,23,may,230,2,-1,0,unknown,no
31,services,married,secondary,no,490,yes,no,cellular,21,nov,394,5,179,2,other,no
52,admin.,married,secondary,no,5122,no,yes,cellular,7,aug,218,7,-1,0,unknown,no
35,technician,single,secondary,no,103,yes,no,unknown,26,may,290,2,-1,0,unknown,no
26,student,single,tertiary,no,39,no,no,cellular,26,may,396,3,-1,0,unknown,yes
37,management,married,tertiary,no,-120,yes,no,unknown,9,may,77,2,-1,0,unknown,no
30,technician,single,tertiary,no,106,yes,no,cellular,13,may,119,3,-1,0,unknown,no
34,blue-collar,married,secondary,no,855,no,yes,cellular,14,jul,616,3,-1,0,unknown,no
33,technician,single,tertiary,no,0,no,no,cellular,14,aug,93,2,-1,0,unknown,no
42,admin.,single,secondary,no,-76,yes,no,unknown,5,may,787,1,-1,0,unknown,no
39,management,married,secondary,no,6012,no,no,telephone,19,nov,140,1,119,2,failure,no
37,management,divorced,tertiary,no,0,yes,no,cellular,6,aug,99,5,-1,0,unknown,no
39,management,married,tertiary,no,5495,yes,no,cellular,19,aug,391,6,-1,0,unknown,no
30,services,married,secondary,no,129,yes,no,unknown,26,may,1446,7,-1,0,unknown,yes
45,management,married,secondary,no,625,no,no,unknown,20,jun,13,3,-1,0,unknown,no
42,services,married,secondary,no,0,yes,no,unknown,7,may,132,3,-1,0,unknown,no
31,blue-collar,single,secondary,no,-219,yes,no,unknown,30,may,66,2,-1,0,unknown,no
35,services,married,secondary,no,52,yes,no,cellular,2,mar,378,4,-1,0,unknown,yes
