年齢,職業,婚姻状況,学歴,債務不履行,残高,住宅ローン,個人ローン,連絡手段,日,月,通話時間,キャンペーン,直前接触日,過去接触回数,前回接触結果,申込有無
30,unemployed,married,primary,False,1787,False,False,cellular,19,oct,79,1,-1,0,,False
33,services,married,secondary,False,4789,True,True,cellular,11,may,220,1,339,4,failure,False
35,management,single,tertiary,False,1350,True,False,cellular,16,apr,185,1,330,1,failure,False
30,management,married,tertiary,False,1476,True,True,,3,jun,199,4,-1,0,,False
59,blue-collar,married,secondary,False,0,True,False,,5,may,226,1,-1,0,,False
35,management,single,tertiary,False,747,False,False,cellular,23,feb,141,2,176,3,failure,False
36,self-employed,married,tertiary,False,307,True,False,cellular,14,may,341,1,330,2,other,False
39,technician,married,secondary,False,147,True,False,cellular,6,may,151,2,-1,0,,False
41,entrepreneur,married,tertiary,False,221,True,False,,14,may,57,2,-1,0,,False
43,services,married,primary,False,-88,True,True,cellular,17,apr,313,1,147,2,failure,False
39,services,married,secondary,False,9374,True,False,,20,may,273,1,-1,0,,False
43,admin.,married,secondary,False,264,True,False,cellular,17,apr,113,2,-1,0,,False
36,technician,married,tertiary,False,1109,False,False,cellular,13,aug,328,2,-1,0,,False
20,student,single,secondary,False,502,False,False,cellular,30,apr,261,1,-1,0,,True
31,blue-collar,married,secondary,False,360,True,True,cellular,29,jan,89,1,241,1,failure,False
40,management,married,tertiary,False,194,False,True,cellular,29,aug,189,2,-1,0,,False
56,technician,married,secondary,False,4073,False,False,cellular,27,aug,239,5,-1,0,,False
37,admin.,single,tertiary,False,2317,True,False,cellular,20,apr,114,1,152,2,failure,False
25,blue-collar,single,primary,False,-221,True,False,,23,may,250,1,-1,0,,False
31,services,married,secondary,False,132,False,False,cellular,7,jul,148,1,152,1,other,False
38,management,divorced,,False,0,True,False,cellular,18,nov,96,2,-1,0,,False
42,management,divorced,tertiary,False,16,False,False,cellular,19,nov,140,3,-1,0,,False
44,services,single,secondary,False,106,False,False,,12,jun,109,2,-1,0,,False
44,entrepreneur,married,secondary,False,93,False,False,cellular,7,jul,125,2,-1,0,,False
26,housemaid,married,tertiary,False,543,False,False,cellular,30,jan,169,3,-1,0,,False
41,management,married,tertiary,False,5883,False,False,cellular,20,nov,182,2,-1,0,,False
55,blue-collar,married,primary,False,627,True,False,,5,may,247,1,-1,0,,False
67,retired,married,,False,696,False,False,telephone,17,aug,119,1,105,2,failure,False
56,self-employed,married,secondary,False,784,False,True,cellular,30,jul,149,2,-1,0,,False
53,admin.,married,secondary,False,105,False,True,cellular,21,aug,74,2,-1,0,,False
68,retired,divorced,secondary,False,4189,False,False,telephone,14,jul,897,2,-1,0,,True
31,technician,married,secondary,False,171,False,False,cellular,27,aug,81,3,-1,0,,False
59,management,married,secondary,False,42,False,False,cellular,21,nov,40,1,-1,0,,False
32,management,single,tertiary,False,2536,True,False,cellular,26,aug,958,6,-1,0,,True
49,technician,married,tertiary,False,1235,False,False,cellular,13,aug,354,3,-1,0,,True
42,admin.,divorced,secondary,False,1811,True,False,,14,may,150,1,-1,0,,False
78,retired,divorced,primary,False,229,False,False,telephone,22,oct,97,1,-1,0,,True
32,blue-collar,married,secondary,False,2089,True,False,cellular,14,nov,132,1,-1,0,,True
33,management,married,secondary,False,3935,True,False,cellular,6,may,765,1,342,2,failure,True
23,services,single,tertiary,False,363,True,False,,30,may,16,18,-1,0,,False
38,management,single,tertiary,False,11971,True,False,,17,nov,609,2,101,3,failure,False
36,management,single,tertiary,False,553,False,False,cellular,11,aug,106,2,-1,0,,False
52,blue-collar,married,secondary,False,1117,True,False,cellular,13,may,365,1,-1,0,,False
32,technician,married,tertiary,False,396,True,False,cellular,13,may,205,3,-1,0,,False
32,technician,single,tertiary,False,2204,True,False,cellular,21,nov,11,4,-1,0,,False
34,management,single,tertiary,False,872,True,False,,7,may,105,2,-1,0,,False
55,blue-collar,married,primary,False,145,False,False,telephone,2,feb,59,3,5,2,other,False
26,blue-collar,married,primary,False,0,True,False,,21,may,425,1,-1,0,,False
32,entrepreneur,single,primary,True,-849,True,True,cellular,4,feb,204,1,-1,0,,False
61,admin.,married,,False,4629,True,False,cellular,27,jan,181,1,92,1,success,True
45,blue-collar,divorced,primary,False,844,False,False,,5,jun,1018,3,-1,0,,True
37,technician,single,secondary,False,228,True,False,cellular,20,aug,1740,2,-1,0,,False
38,technician,single,secondary,False,50,False,False,cellular,29,aug,98,2,-1,0,,False
34,technician,married,tertiary,False,1539,True,False,cellular,15,jun,441,1,56,1,other,True
53,blue-collar,married,secondary,False,2231,True,False,cellular,14,jul,272,3,-1,0,,False
48,admin.,married,secondary,False,3064,True,False,telephone,15,jul,159,2,-1,0,,False
57,management,married,secondary,False,82,False,True,telephone,4,feb,140,1,-1,0,,False
33,self-employed,single,tertiary,False,2155,False,False,cellular,17,nov,295,1,-1,0,,False
36,retired,single,secondary,False,101,True,True,,26,may,314,1,-1,0,,False
54,technician,divorced,secondary,False,784,True,True,,15,may,579,1,-1,0,,False
41,blue-collar,married,primary,False,-516,False,True,telephone,8,jul,554,3,-1,0,,False
63,retired,married,secondary,False,415,True,False,cellular,7,oct,323,1,-1,0,,False
48,management,married,tertiary,False,5887,False,False,cellular,13,aug,227,2,-1,0,,False
48,services,married,secondary,False,1355,False,False,cellular,4,jul,134,2,-1,0,,False
56,admin.,married,secondary,False,16873,False,False,cellular,7,oct,223,1,-1,0,,False
51,blue-collar,divorced,secondary,False,203,True,False,cellular,8,may,134,1,170,5,failure,False
31,services,married,secondary,False,338,True,False,cellular,28,jan,155,1,-1,0,,False
29,technician,married,secondary,False,444,True,False,cellular,21,jul,130,4,-1,0,,False
41,management,married,secondary,False,0,False,True,cellular,7,jul,630,3,-1,0,,False
32,technician,single,tertiary,False,360,False,False,cellular,19,nov,164,2,-1,0,,False
37,management,married,tertiary,False,0,False,False,cellular,16,jul,268,2,182,3,success,True
42,entrepreneur,divorced,tertiary,True,2,True,False,,5,may,380,1,-1,0,,False
31,management,single,tertiary,False,6248,True,False,,9,may,154,2,-1,0,,False
41,services,married,tertiary,False,412,True,False,,3,jun,154,5,-1,0,,False
56,retired,married,secondary,False,344,True,False,,15,may,221,1,-1,0,,False
54,management,divorced,tertiary,False,3222,False,False,cellular,14,aug,67,2,-1,0,,False
41,blue-collar,divorced,secondary,False,174,True,False,cellular,14,may,367,2,297,1,other,False
40,technician,single,secondary,False,591,False,True,cellular,14,aug,87,6,-1,0,,False
50,blue-collar,divorced,primary,False,388,False,False,cellular,5,feb,701,1,-1,0,,False
40,unemployed,married,secondary,False,219,True,False,cellular,17,nov,204,2,196,1,failure,False
27,admin.,divorced,secondary,False,451,True,False,cellular,16,jul,652,1,-1,0,,True
60,retired,married,primary,False,5,False,False,cellular,26,aug,63,2,-1,0,,False
28,admin.,single,secondary,False,177,True,True,cellular,6,may,150,1,-1,0,,False
52,services,married,secondary,False,657,False,False,telephone,7,jul,398,2,460,2,failure,True
37,management,married,tertiary,False,1315,False,False,cellular,30,jun,224,1,-1,0,,True
51,blue-collar,married,primary,False,1466,True,False,,7,may,406,2,-1,0,,False
