年齢,職業,婚姻,学歴,平均残高,住宅ローン,個人ローン
58,management,married,tertiary,2143,True,False
44,technician,single,secondary,29,True,False
33,entrepreneur,married,secondary,2,True,True
47,blue-collar,married,,1506,True,False
33,,single,,1,False,False
35,management,married,tertiary,231,True,False
28,management,single,tertiary,447,True,True
42,entrepreneur,divorced,tertiary,2,True,False
58,retired,married,primary,121,True,False
43,technician,single,secondary,593,True,False
41,admin.,divorced,secondary,270,True,False
29,admin.,single,secondary,390,True,False
53,technician,married,secondary,6,True,False
58,technician,married,,71,True,False
57,services,married,secondary,162,True,False
51,retired,married,primary,229,True,False
45,admin.,single,,13,True,False
57,blue-collar,married,primary,52,True,False
60,retired,married,primary,60,True,False
33,services,married,secondary,0,True,False
28,blue-collar,married,secondary,723,True,True
56,management,married,tertiary,779,True,False
32,blue-collar,single,primary,23,True,True
25,services,married,secondary,50,True,False
40,retired,married,primary,0,True,True
44,admin.,married,secondary,-372,True,False
39,management,single,tertiary,255,True,False
52,entrepreneur,married,secondary,113,True,True
46,management,single,secondary,-246,True,False
36,technician,single,secondary,265,True,True
57,technician,married,secondary,839,False,True
49,management,married,tertiary,378,True,False
60,admin.,married,secondary,39,True,True
59,blue-collar,married,secondary,0,True,False
51,management,married,tertiary,10635,True,False
57,technician,divorced,secondary,63,True,False
25,blue-collar,married,secondary,-7,True,False
53,technician,married,secondary,-3,False,False
36,admin.,divorced,secondary,506,True,False
37,admin.,single,secondary,0,True,False
44,services,divorced,secondary,2586,True,False
50,management,married,secondary,49,True,False
60,blue-collar,married,,104,True,False
54,retired,married,secondary,529,True,False
58,retired,married,,96,True,False
36,admin.,single,primary,-171,True,False
58,self-employed,married,tertiary,-364,True,False
44,technician,married,secondary,0,True,False
55,technician,divorced,secondary,0,False,False
29,management,single,tertiary,0,True,False
54,blue-collar,married,secondary,1291,True,False
48,management,divorced,tertiary,-244,True,False
32,management,married,tertiary,0,True,False
42,admin.,single,secondary,-76,True,False
24,technician,single,secondary,-103,True,True
38,entrepreneur,single,tertiary,243,False,True
38,management,single,tertiary,424,True,False
47,blue-collar,married,,306,True,False
40,blue-collar,single,,24,True,False
46,services,married,primary,179,True,False
32,admin.,married,tertiary,0,True,False
53,technician,divorced,secondary,989,True,False
57,blue-collar,married,primary,249,True,False
33,services,married,secondary,790,True,False
49,blue-collar,married,,154,True,False
51,management,married,tertiary,6530,True,False
60,retired,married,tertiary,100,False,False
59,management,divorced,tertiary,59,True,False
55,technician,married,secondary,1205,True,False
35,blue-collar,single,secondary,12223,True,True
57,blue-collar,married,secondary,5935,True,True
31,services,married,secondary,25,True,True
54,management,married,secondary,282,True,True
55,blue-collar,married,primary,23,True,False
43,technician,married,secondary,1937,True,False
53,technician,married,secondary,384,True,False
44,blue-collar,married,secondary,582,False,True
55,services,divorced,secondary,91,False,False
49,services,divorced,secondary,0,True,True
55,services,divorced,secondary,1,True,False
45,admin.,single,secondary,206,True,False
47,services,divorced,secondary,164,False,False
42,technician,single,secondary,690,True,False
59,admin.,married,secondary,2343,True,False
46,self-employed,married,tertiary,137,True,True
51,blue-collar,married,primary,173,True,False
56,admin.,married,secondary,45,False,False
41,technician,married,secondary,1270,True,False
46,management,divorced,secondary,16,True,True
57,retired,married,secondary,486,True,False
42,management,single,secondary,50,False,False
30,technician,married,secondary,152,True,True
60,admin.,married,secondary,290,True,False
60,blue-collar,married,,54,True,False
57,entrepreneur,divorced,secondary,-37,False,False
36,management,married,tertiary,101,True,True
55,blue-collar,married,secondary,383,False,False
60,retired,married,tertiary,81,True,False
39,technician,married,secondary,0,True,False
46,management,married,tertiary,229,True,False
44,blue-collar,married,secondary,-674,True,False
53,blue-collar,married,primary,90,False,False
52,blue-collar,married,primary,128,True,False
59,blue-collar,married,primary,179,True,False
27,technician,single,tertiary,0,True,False
44,blue-collar,married,secondary,54,True,False
47,technician,married,tertiary,151,True,False
34,admin.,married,secondary,61,False,True
59,retired,single,secondary,30,True,False
45,management,married,tertiary,523,True,False
29,services,divorced,secondary,31,True,False
46,technician,divorced,secondary,79,False,False
56,self-employed,married,primary,-34,True,True
36,blue-collar,married,primary,448,True,False
59,retired,divorced,primary,81,True,False
44,blue-collar,married,secondary,144,True,False
41,admin.,married,secondary,351,True,False
33,management,single,tertiary,-67,True,False
59,management,divorced,tertiary,262,False,False
57,technician,married,primary,0,False,False
56,technician,divorced,,56,True,False
51,blue-collar,married,secondary,26,True,False
34,admin.,married,,3,True,False
43,services,married,secondary,41,True,True
52,technician,married,tertiary,7,False,True
33,technician,single,secondary,105,True,False
29,admin.,single,secondary,818,True,True
34,services,married,secondary,-16,True,True
31,blue-collar,married,secondary,0,True,False
55,services,married,secondary,2476,True,False
55,management,married,,1185,False,False
32,admin.,single,secondary,217,True,False
38,technician,single,secondary,1685,True,False
55,admin.,single,secondary,802,True,True
28,unemployed,single,tertiary,0,True,False
23,blue-collar,married,secondary,94,True,False
32,technician,single,secondary,0,True,False
43,services,single,,0,False,False
32,blue-collar,married,secondary,517,True,False
46,blue-collar,married,secondary,265,True,False
53,housemaid,divorced,primary,947,True,False
34,self-employed,single,secondary,3,True,False
57,unemployed,married,tertiary,42,False,False
37,blue-collar,married,secondary,37,True,False
59,blue-collar,married,secondary,57,True,False
33,services,married,secondary,22,True,False
56,blue-collar,divorced,primary,8,True,False
48,unemployed,married,secondary,293,True,False
43,services,married,primary,3,True,False
54,blue-collar,married,primary,348,True,False
51,blue-collar,married,,-19,True,False
26,student,single,secondary,0,True,False
40,management,married,tertiary,-4,True,False
39,management,married,secondary,18,True,False
50,technician,married,primary,139,False,False
41,services,married,secondary,0,True,False
51,blue-collar,married,,1883,True,False
60,retired,divorced,secondary,216,True,False
52,blue-collar,married,secondary,782,True,False
48,blue-collar,married,secondary,904,True,False
48,services,married,,1705,True,False
39,technician,single,tertiary,47,True,False
47,services,single,secondary,176,True,False
40,blue-collar,married,secondary,1225,True,False
45,technician,married,secondary,86,True,False
26,admin.,single,secondary,82,True,False
52,management,married,tertiary,271,True,False
54,technician,married,secondary,1378,True,False
54,admin.,married,tertiary,184,False,False
50,blue-collar,married,primary,0,False,False
35,blue-collar,married,secondary,0,True,False
44,services,married,secondary,1357,True,True
53,entrepreneur,married,,19,True,False
35,retired,single,primary,434,False,False
60,admin.,divorced,secondary,92,True,False
53,admin.,divorced,secondary,1151,True,False
48,unemployed,married,secondary,41,True,False
34,technician,married,secondary,51,True,False
54,services,married,secondary,214,True,False
51,management,married,secondary,1161,True,False
31,services,married,tertiary,37,True,False
35,technician,divorced,secondary,787,True,False
35,services,married,secondary,59,True,False
38,technician,married,secondary,253,True,False
36,admin.,married,tertiary,211,True,False
58,retired,married,primary,235,True,False
40,services,divorced,,4384,True,False
54,management,married,secondary,4080,False,False
34,blue-collar,single,secondary,53,True,True
31,management,single,tertiary,0,True,False
51,retired,married,secondary,2127,True,False
33,management,married,tertiary,377,True,False
55,management,married,tertiary,73,True,False
42,admin.,married,secondary,445,True,False
34,blue-collar,married,secondary,243,True,False
33,blue-collar,single,secondary,307,True,False
38,services,married,secondary,155,True,False
50,technician,divorced,tertiary,173,False,True
43,management,married,tertiary,400,True,False
61,blue-collar,divorced,primary,1428,True,False
47,admin.,married,secondary,219,True,False
48,self-employed,married,tertiary,7,True,False
44,blue-collar,married,secondary,575,True,False
35,student,single,,298,True,False
35,services,married,secondary,0,True,False
50,services,married,secondary,5699,True,False
41,management,married,tertiary,176,True,True
41,management,married,tertiary,517,True,False
39,services,single,,257,True,False
42,retired,married,secondary,56,True,False
38,blue-collar,married,secondary,-390,True,False
53,retired,married,secondary,330,True,False
59,housemaid,divorced,primary,195,False,False
36,services,married,secondary,301,True,False
54,blue-collar,married,primary,-41,True,False
40,technician,married,tertiary,483,True,False
47,,married,,28,False,False
53,unemployed,married,,13,False,False
46,housemaid,married,primary,965,False,False
39,management,married,tertiary,378,True,True
40,unemployed,married,secondary,219,True,False
28,blue-collar,married,primary,324,True,False
35,entrepreneur,divorced,secondary,-69,True,False
55,retired,married,secondary,0,False,True
43,technician,divorced,,205,True,False
48,blue-collar,married,primary,278,True,False
