年齢,職業,婚姻,学歴,債務不履行,平均残高,住宅ローン,個人ローン,連絡手段,最終通話日,最終通話月,最終通話秒数,通話回数_販促中,前回販促後_経過日数,通話回数_販促前,前回販促結果,今回販促結果
31,management,married,tertiary,いいえ,1343,はい,はい,unknown,21,may,85,1,-1,0,unknown,失敗
55,unknown,married,tertiary,いいえ,0,いいえ,いいえ,unknown,16,may,409,3,-1,0,unknown,失敗
53,blue-collar,married,secondary,いいえ,-626,はい,いいえ,cellular,9,jul,205,1,-1,0,unknown,失敗
38,management,married,tertiary,いいえ,12855,はい,いいえ,unknown,30,may,417,1,-1,0,unknown,失敗
35,technician,single,secondary,いいえ,300,はい,いいえ,unknown,9,may,338,4,-1,0,unknown,失敗
37,blue-collar,single,secondary,いいえ,48,いいえ,いいえ,cellular,6,may,140,2,-1,0,unknown,失敗
52,technician,married,secondary,いいえ,475,はい,いいえ,cellular,28,jul,121,3,-1,0,unknown,失敗
30,services,single,secondary,いいえ,114,いいえ,はい,cellular,18,jul,110,10,-1,0,unknown,失敗
34,technician,married,secondary,いいえ,4,はい,いいえ,unknown,15,may,644,1,-1,0,unknown,失敗
58,retired,married,secondary,いいえ,413,いいえ,いいえ,cellular,27,aug,104,5,-1,0,unknown,失敗
44,management,single,tertiary,いいえ,617,いいえ,いいえ,telephone,31,jul,30,2,-1,0,unknown,失敗
20,student,married,unknown,いいえ,292,いいえ,いいえ,cellular,4,may,45,1,-1,0,unknown,失敗
30,unemployed,married,secondary,いいえ,142,はい,いいえ,unknown,20,may,350,4,-1,0,unknown,失敗
47,services,married,primary,いいえ,504,いいえ,はい,unknown,18,jun,156,3,-1,0,unknown,失敗
31,entrepreneur,married,secondary,いいえ,10,はい,はい,cellular,25,jul,13,9,-1,0,unknown,失敗
32,blue-collar,married,primary,いいえ,827,はい,いいえ,unknown,23,may,230,2,-1,0,unknown,失敗
31,services,married,secondary,いいえ,490,はい,いいえ,cellular,21,nov,394,5,179,2,other,失敗
52,admin.,married,secondary,いいえ,5122,いいえ,はい,cellular,7,aug,218,7,-1,0,unknown,失敗
35,technician,single,secondary,いいえ,103,はい,いいえ,unknown,26,may,290,2,-1,0,unknown,失敗
26,student,single,tertiary,いいえ,39,いいえ,いいえ,cellular,26,may,396,3,-1,0,unknown,成功
37,management,married,tertiary,いいえ,-120,はい,いいえ,unknown,9,may,77,2,-1,0,unknown,失敗
30,technician,single,tertiary,いいえ,106,はい,いいえ,cellular,13,may,119,3,-1,0,unknown,失敗
34,blue-collar,married,secondary,いいえ,855,いいえ,はい,cellular,14,jul,616,3,-1,0,unknown,失敗
33,technician,single,tertiary,いいえ,0,いいえ,いいえ,cellular,14,aug,93,2,-1,0,unknown,失敗
42,admin.,single,secondary,いいえ,-76,はい,いいえ,unknown,5,may,787,1,-1,0,unknown,失敗
39,management,married,secondary,いいえ,6012,いいえ,いいえ,telephone,19,nov,140,1,119,2,failure,失敗
37,management,divorced,tertiary,いいえ,0,はい,いいえ,cellular,6,aug,99,5,-1,0,unknown,失敗
39,management,married,tertiary,いいえ,5495,はい,いいえ,cellular,19,aug,391,6,-1,0,unknown,失敗
30,services,married,secondary,いいえ,129,はい,いいえ,unknown,26,may,1446,7,-1,0,unknown,成功
45,management,married,secondary,いいえ,625,いいえ,いいえ,unknown,20,jun,13,3,-1,0,unknown,失敗
42,services,married,secondary,いいえ,0,はい,いいえ,unknown,7,may,132,3,-1,0,unknown,失敗
31,blue-collar,single,secondary,いいえ,-219,はい,いいえ,unknown,30,may,66,2,-1,0,unknown,失敗
35,services,married,secondary,いいえ,52,はい,いいえ,cellular,2,mar,378,4,-1,0,unknown,成功
37,admin.,married,secondary,いいえ,10465,いいえ,いいえ,unknown,17,jun,144,6,-1,0,unknown,失敗
