年齢,職業,婚姻,学歴,債務不履行,残高,住宅ローン,個人ローン,連絡手段,連絡回数_販促中,連絡後日数,連絡回数_販促前,前回販促結果,今回販促結果
53,blue-collar,married,primary,yes,-462,no,no,cellular,1,-1,0,unknown,yes
43,blue-collar,single,secondary,no,740,yes,no,unknown,2,-1,0,unknown,yes
32,management,married,tertiary,no,1270,no,no,cellular,3,-1,0,unknown,yes
83,retired,single,primary,no,1965,no,no,telephone,3,-1,0,unknown,yes
32,admin.,married,secondary,no,995,no,no,cellular,1,99,2,other,yes
67,retired,married,tertiary,no,3810,no,no,cellular,1,-1,0,unknown,no
34,management,single,tertiary,no,212,no,no,cellular,8,-1,0,unknown,yes
29,technician,single,secondary,no,825,no,no,cellular,2,-1,0,unknown,yes
36,blue-collar,married,primary,no,408,yes,yes,unknown,2,-1,0,unknown,yes
45,admin.,married,secondary,no,476,no,no,cellular,1,364,1,other,yes
49,admin.,divorced,secondary,no,1180,no,no,cellular,2,181,4,success,no
68,retired,single,primary,no,363,no,no,cellular,1,-1,0,unknown,no
27,blue-collar,married,secondary,no,419,yes,no,unknown,2,-1,0,unknown,yes
34,management,married,tertiary,no,1006,yes,no,cellular,3,195,2,other,yes
44,admin.,married,secondary,no,132,no,no,cellular,5,124,4,success,no
34,technician,married,tertiary,no,3743,yes,no,cellular,4,-1,0,unknown,yes
28,admin.,single,secondary,no,-7,no,yes,unknown,2,-1,0,unknown,yes
35,self-employed,married,tertiary,no,1250,yes,no,cellular,1,136,1,other,no
32,management,married,tertiary,no,905,no,no,cellular,4,-1,0,unknown,yes
37,blue-collar,married,secondary,no,723,yes,no,cellular,1,110,2,failure,no
24,blue-collar,divorced,secondary,no,513,yes,no,cellular,3,-1,0,unknown,no
33,management,single,tertiary,no,432,no,no,telephone,6,-1,0,unknown,yes
36,management,single,tertiary,no,5958,yes,no,cellular,1,184,1,success,yes
29,management,single,tertiary,no,985,yes,no,cellular,2,-1,0,unknown,yes
37,management,married,tertiary,no,2283,no,no,cellular,2,98,2,failure,yes
67,retired,divorced,primary,no,1746,no,no,cellular,1,-1,0,unknown,no
37,management,married,tertiary,no,203,no,no,cellular,1,90,5,success,yes
27,blue-collar,single,secondary,no,148,no,no,cellular,1,-1,0,unknown,no
26,blue-collar,single,secondary,no,37,no,yes,cellular,2,-1,0,unknown,no
36,entrepreneur,married,secondary,no,2971,no,no,cellular,1,97,8,failure,yes
34,admin.,single,secondary,no,10,no,yes,cellular,1,173,3,failure,no
27,technician,single,secondary,no,3267,no,yes,cellular,13,-1,0,unknown,no
26,student,single,tertiary,no,10086,no,no,cellular,2,-1,0,unknown,yes
25,management,single,unknown,no,314,no,yes,cellular,1,-1,0,unknown,no
28,entrepreneur,single,tertiary,no,219,yes,no,unknown,1,-1,0,unknown,no
30,self-employed,single,tertiary,no,432,yes,no,cellular,1,-1,0,unknown,yes
47,admin.,married,secondary,no,0,no,yes,cellular,1,139,4,failure,no
53,technician,divorced,tertiary,no,2228,no,no,cellular,1,-1,0,unknown,yes
28,admin.,single,tertiary,no,1540,yes,no,unknown,11,-1,0,unknown,no
33,management,married,tertiary,no,5878,no,no,cellular,1,430,2,failure,yes
35,blue-collar,married,primary,no,159,yes,yes,cellular,1,-1,0,unknown,yes
53,admin.,married,secondary,no,4493,no,no,cellular,2,168,3,failure,no
56,unemployed,married,secondary,no,-246,no,yes,cellular,2,204,2,failure,no
39,management,single,tertiary,no,26,yes,yes,cellular,1,179,4,failure,no
43,management,married,tertiary,no,2987,no,no,cellular,1,85,3,failure,yes
25,blue-collar,single,secondary,no,-392,yes,no,cellular,1,-1,0,unknown,no
28,technician,single,tertiary,no,0,yes,no,cellular,1,40,2,failure,yes
28,admin.,single,secondary,no,707,yes,no,cellular,1,-1,0,unknown,yes
57,retired,married,primary,no,1947,no,no,cellular,1,185,7,success,no
52,services,married,secondary,no,393,yes,yes,cellular,1,182,8,failure,no
36,unemployed,married,tertiary,no,39385,no,no,cellular,1,-1,0,unknown,no
53,entrepreneur,married,primary,no,27,yes,no,telephone,3,-1,0,unknown,yes
26,blue-collar,single,secondary,no,3145,no,no,cellular,1,209,1,other,yes
29,technician,single,secondary,no,706,yes,no,cellular,1,-1,0,unknown,yes
34,blue-collar,divorced,secondary,no,383,yes,no,unknown,1,-1,0,unknown,yes
